Regional Council11,Service type4,Ethnic group9,Age of child7,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
West Coast,Playcentre,Pasifika,Less than 1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Wellington,Playcentre,Pasifika,Less than 1,13,7,4,7,8,6,8,13,10,8,9,11,9,9,9
Waikato,Playcentre,Pasifika,Less than 1,1,2,1,0,1,1,0,3,3,6,5,6,4,6,6
Tasman,Playcentre,Pasifika,Less than 1,2,0,0,0,0,0,0,0,0,0,0,3,0,1,1
Taranaki,Playcentre,Pasifika,Less than 1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
Southland,Playcentre,Pasifika,Less than 1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Otago,Playcentre,Pasifika,Less than 1,2,1,0,1,1,1,1,0,2,1,2,2,7,2,2
Northland,Playcentre,Pasifika,Less than 1,2,2,2,3,2,2,3,2,1,2,1,1,1,3,1
Nelson,Playcentre,Pasifika,Less than 1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
Marlborough,Playcentre,Pasifika,Less than 1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Manawatu-Wanganui,Playcentre,Pasifika,Less than 1,0,1,1,2,2,1,1,0,0,1,1,0,1,0,1
Hawkes Bay,Playcentre,Pasifika,Less than 1,1,1,1,1,1,0,0,1,0,2,2,1,1,2,0
Gisborne,Playcentre,Pasifika,Less than 1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Canterbury,Playcentre,Pasifika,Less than 1,2,0,0,2,1,1,0,0,0,3,1,2,2,3,3
Bay of Plenty,Playcentre,Pasifika,Less than 1,1,1,2,2,1,1,0,0,1,0,1,3,3,1,2
Auckland,Playcentre,Pasifika,Less than 1,16,10,15,17,23,11,20,16,14,16,10,15,27,15,19
Area outside regions,Playcentre,Pasifika,Less than 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Coast,Kōhanga Reo,Pasifika,Less than 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wellington,Kōhanga Reo,Pasifika,Less than 1,0,0,0,0,0,0,0,4,5,2,0,2,2,2,4
Waikato,Kōhanga Reo,Pasifika,Less than 1,0,0,0,0,0,0,0,2,2,1,1,1,0,1,4
Tasman,Kōhanga Reo,Pasifika,Less than 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taranaki,Kōhanga Reo,Pasifika,Less than 1,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0
Southland,Kōhanga Reo,Pasifika,Less than 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otago,Kōhanga Reo,Pasifika,Less than 1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Northland,Kōhanga Reo,Pasifika,Less than 1,0,0,0,0,0,0,0,1,1,0,1,3,0,1,1
Nelson,Kōhanga Reo,Pasifika,Less than 1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Marlborough,Kōhanga Reo,Pasifika,Less than 1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2
Manawatu-Wanganui,Kōhanga Reo,Pasifika,Less than 1,0,0,0,0,0,0,0,0,0,1,0,2,0,2,3
Hawkes Bay,Kōhanga Reo,Pasifika,Less than 1,0,0,0,0,0,0,0,1,2,1,4,2,1,3,3
Gisborne,Kōhanga Reo,Pasifika,Less than 1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0
Canterbury,Kōhanga Reo,Pasifika,Less than 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bay of Plenty,Kōhanga Reo,Pasifika,Less than 1,0,0,0,0,0,0,0,1,2,1,1,0,1,0,2
Auckland,Kōhanga Reo,Pasifika,Less than 1,1,0,0,1,0,0,0,0,3,1,2,5,3,2,4
Area outside regions,Kōhanga Reo,Pasifika,Less than 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Coast,Kindergarten,Pasifika,Less than 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wellington,Kindergarten,Pasifika,Less than 1,0,0,0,0,0,0,0,0,0,0,3,4,5,1,8
Waikato,Kindergarten,Pasifika,Less than 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasman,Kindergarten,Pasifika,Less than 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taranaki,Kindergarten,Pasifika,Less than 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southland,Kindergarten,Pasifika,Less than 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
